EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,HIRE_DATE,SALARY,MANAGER_ID,DEPARTMENT_ID
174,Ellen,Abel,EABEL,11-May-04,11000,149,80
175,Alyssa,Hutton,AHUTTON,19-Mar-05,8800,149,80
176,Jonathon,Taylor,JTAYLOR,24-Mar-06,8600,149,80
177,Jack,Livingston,JLIVINGS,23-Apr-06,8400,149,80
178,Kimberely,Grant,KGRANT,24-May-07,7000,149,
179,Charles,Johnson,CJOHNSON,04-Jan-08,6200,149,80
180,Winston,Taylor,WTAYLOR,24-Jan-06,3200,120,50
181,Jean,Fleaur,JFLEAUR,23-Feb-06,3100,120,50
182,Martha,Sullivan,MSULLIVA,21-Jun-07,2500,120,50
183,Girard,Geoni,GGEONI,03-Feb-08,2800,120,50
184,Nandita,Sarchand,NSARCHAN,27-Jan-04,4200,121,50
185,Alexis,Bull,ABULL,20-Feb-05,4100,121,50
186,Julia,Dellinger,JDELLING,24-Jun-06,3400,121,50
187,Anthony,Cabrio,ACABRIO,07-Feb-07,3000,121,50
188,Kelly,Chung,KCHUNG,14-Jun-05,3800,122,50
189,Jennifer,Dilly,JDILLY,13-Aug-05,3600,122,50
190,Timothy,Gates,TGATES,11-Jul-06,2900,122,50
191,Randall,Perkins,RPERKINS,19-Dec-07,2500,122,50
192,Sarah,Bell,SBELL,04-Feb-04,4000,123,50
193,Britney,Everett,BEVERETT,03-Mar-05,3900,123,50
194,Samuel,McCain,SMCCAIN,01-Jul-06,3200,123,50
195,Vance,Jones,VJONES,17-Mar-07,2800,123,50
196,Alana,Walsh,AWALSH,24-Apr-06,3100,124,50
197,Kevin,Feeney,KFEENEY,23-May-06,3000,124,50
198,Donald,OConnell,DOCONNEL,21-Jun-07,2600,124,50
199,Douglas,Grant,DGRANT,13-Jan-08,2600,124,50
200,Jennifer,Whalen,JWHALEN,17-Sep-03,4400,101,10
201,Michael,Hartstein,MHARTSTE,17-Feb-04,13000,100,20
202,Pat,Fay,PFAY,17-Aug-05,6000,201,20
203,Susan,Mavris,SMAVRIS,07-Jun-02,6500,101,40
204,Hermann,Baer,HBAER,07-Jun-02,10000,101,70
205,Shelley,Higgins,SHIGGINS,07-Jun-02,12008,101,110
206,William,Gietz,WGIETZ,07-Jun-02,8300,205,110
